User ID,Username,Platform,Post ID,Post Text,Post Timestamp,Likes/Reactions,Comments,Shares/Retweets,Hashtags,Mentions,Media Type,Media URL,Post URL,Location,Privacy Settings,User Followers,User Following,Account Creation Date,Account Verification,User Engagement,User Interactions,User Activity,User Bio,User Description 1,User Description 2,Server Post,User Language
101,@adventureSeeker,Instagram,82036,"""Experiencing the thrill of a lifetime! #AdventureTime""",30-07-2023 14:45,1500,250,120,#AdventureTime,None,Image,http://example.com/adventure.jpg,http://instagram.com/adventureSeeker/82036,Yosemite National Park,Public,15000,500,10-05-2019,Verified,1870,15700,3 posts per week,Adventure enthusiast,Nature lover,Seeker of wanderlust ??,"California, USA",English
215,@foodieTraveler,Twitter,12463,"""Indulging in local delicacies! #FoodieTravels""",30-07-2023 19:30,850,70,50,#FoodieTravels,None,Text,None,http://twitter.com/foodieTraveler/12463,"Bangkok, Thailand",Public,8000,300,15-09-2017,Not verified,970,8300,5 posts per week,Culinary explorer,Street food connoisseur,Travel addict ??,"London, UK",English
303,@wellnessJourney,Facebook,45982,"""Finding peace and balance in nature!",30-07-2023 08:15,680,80,40,#WellnessJourney,None,Image,http://example.com/wellness.jpg,http://facebook.com/wellnessJourney/45982,"Bali, Indonesia",Public,6000,200,02-03-2020,Not verified,800,6200,2 posts per week,Wellness enthusiast,Yogi in training,Mindfulness advocate,"San Francisco, USA",English
404,@fitnessFreak,Instagram,16572,"""Pushing my limits in the gym!",30-07-2023 12:30,1850,350,180,#FitnessGoals,None,Image,http://example.com/fitness.jpg,http://instagram.com/fitnessFreak/16572,"Los Angeles, USA",Public,32000,400,12-08-2016,Verified,2380,32750,4 posts per week,Fitness enthusiast,Health is wealth,Workout addict,"Los Angeles, USA",English
521,@foodExplorer,Twitter,75589,"""Discovering unique flavors around the world!",30-07-2023 16:20,950,80,60,#Foodies,None,Text,None,http://twitter.com/foodExplorer/75589,"Paris, France",Public,7200,1800,28-02-2018,Not verified,1090,9080,3 posts per week,Culinary adventurer,Gastronomic traveler,Bon app?it!,"Paris, France",English
609,@wanderlustSoul,Facebook,24680,"""Embracing the beauty of nature!",30-07-2023 09:45,1200,110,50,#Wanderlust,None,Image,http://example.com/wanderlust.jpg,http://facebook.com/wanderlustSoul/24680,"Bali, Indonesia",Friends Only,9500,650,05-09-2019,Not verified,1360,10850,2 posts per week,Traveler at heart ??,Nature lover,Free spirit,"Bali, Indonesia",English
712,@techGeek,Twitter,36901,"""Exploring the latest tech innovations!",30-07-2023 11:10,550,40,30,#TechNews,None,Text,None,http://twitter.com/techGeek/36901,"San Francisco, USA",Public,6500,300,18-01-2021,Not verified,620,6850,1 post per day,Tech enthusiast,Geek by choice,Futurist,"San Francisco, USA",English
825,@petWhisperer,Instagram,98342,"""Connecting with furry friends!",30-07-2023 15:55,2200,320,200,#PetLove,None,Image,http://example.com/pet.jpg,http://instagram.com/petWhisperer/98342,"New York City, USA",Public,18500,1000,29-03-2022,Verified,2720,21600,2 posts per week,Animal lover,Cat whisperer,Pet advocate,"New York City, USA",English
926,@bookwormLife,Facebook,57481,"""Diving into the magical world of books!",30-07-2023 17:30,780,60,40,#BookNerd,None,Image,http://example.com/book.jpg,http://facebook.com/bookwormLife/57481,"London, UK",Public,8200,700,20-09-2018,Not verified,880,9620,4 posts per week,Bibliophile,Literature lover,Word devourer,"London, UK",English
104,@foodPhotog,Instagram,20589,"""Capturing delicious moments!",30-07-2023 12:15,1100,120,80,#FoodPhotography,None,Image,http://example.com/food.jpg,http://instagram.com/foodPhotog/20589,"Paris, France",Friends Only,5000,400,05-12-2017,Verified,1300,5700,3 posts per week,Foodie by heart,Gastronomy explorer,Cuisine critic,"Paris, France",English
